question,answer
"Toula made a trip to a pastry shop where she purchased a variety of baked goods. She got three dozens of donuts at a rate of $68 per dozen, two dozens of mini cupcakes priced at $80 per dozen, and six dozens of mini cheesecakes costing $55 per dozen. Can you calculate the total amount she spent?","Let's break down the total cost of each type of pastry. First, for the donuts, she bought three dozens at $68 each, which totals to 3 multiplied by $68, giving us $204. Next, she bought two dozens of mini cupcakes at $80 per dozen, which amounts to 2 times $80, equalling $160. Lastly, she purchased six dozens of mini cheesecakes at $55 per dozen, which comes to 6 times $55, summing up to $330. Adding all these amounts together, $204 for donuts, $160 for mini cupcakes, and $330 for mini cheesecakes, we get the total expenditure of $694."
"How long will it take for Carlos to start making a profit from his lemon tree, considering that the initial planting cost is $90, the tree produces 7 lemons annually which he sells for $1.5 each, and the annual maintenance cost is $3?","Carlos can earn $10.5 annually by selling the lemons produced by the tree, as each lemon is sold for $1.5 and the tree produces 7 lemons a year. After deducting the annual maintenance cost of $3, his net annual profit from the tree is $7.5. To recover his initial investment of $90 on the tree, it will take him 12 years, as $90 divided by the annual net profit of $7.5 equals 12. Therefore, Carlos will start making a profit from the 13th year onwards."
"Melanie is a saleswoman who sells vacuum cleaners from house to house. She managed to sell a third of her stock at a house painted green, sold an additional two at a red-painted house, and then sold half of her remaining stock at an orange house. Given that she has 5 vacuum cleaners left, can you determine the initial quantity of vacuum cleaners she had?","To find out the initial number of vacuum cleaners Melanie had, we can start by doubling the number of vacuum cleaners she has left, which gives us the quantity she had before selling at the orange house: 5 * 2 = 10. Next, we add the two vacuum cleaners she sold at the red house to this number: 10 + 2 = 12. This is the quantity she had after selling at the green house, which means she initially had 1.5 times this amount (since she sold a third at the green house). Therefore, we can find the initial quantity by multiplying 12 by 1.5, which gives us 18. So, Melanie started with 18 vacuum cleaners."
"If there are 20 students in a dance class, and 20% of them chose contemporary dance, 25% of the remaining students chose jazz dance, what percentage of the total students chose hip-hop dance?","Let's break it down. Out of the 20 students, 20% or 4 students (20 multiplied by 20% equals 4) chose contemporary dance. This leaves us with 16 students (20 minus 4 equals 16) who chose either jazz or hip-hop. Out of these 16 students, 25% or 4 students (16 multiplied by 25% equals 4) chose jazz dance. This means that the remaining 12 students (16 minus 4 equals 12) must have chosen hip-hop dance. Therefore, the percentage of students who chose hip-hop dance is 60% (12 divided by 20 multiplied by 100% equals 60%)."
"A trader is considering two investment options: a $5,000 investment in jewelry or an $8,000 investment in electronic devices. His financial consultant predicts a 2.5% increase in the jewelry market and a 1.2% increase in the electronics market within a month. Which investment should the trader choose to maximize his profit by the end of the month, and what would be the total profit?","The trader's potential profit from the jewelry investment would be 2.5% of $5,000, which equals $125. On the other hand, the potential profit from the electronics investment would be 1.2% of $8,000, which equals $96. Comparing these two amounts, the jewelry investment would yield a higher profit of $125. Therefore, to maximize his profit, the trader should choose to invest in jewelry, resulting in a total profit of $125."
"If two trains depart from San Rafael simultaneously and head west for 80 miles on the first day, then change direction to north and travel another 150 miles on the second day, how far has each train journeyed over the two-day period?","Each train embarked on a journey west from San Rafael, covering a distance of 80 miles on the first day. On the following day, they altered their course to the north and traveled an additional 150 miles. Therefore, over the course of these two days, each train covered a total distance of 80 miles plus 150 miles, which equals 230 miles. So, each train traveled a total of 230 miles over the two-day period."
"Jill earns $20 per hour as a teacher and $30 per hour as a cheerleading coach. She works 35 hours weekly as a teacher and 15 hours weekly as a coach, for 50 weeks each year. How much does she earn annually from both jobs?","Let's first calculate Jill's weekly earnings from teaching. She earns $20 per hour and works 35 hours a week, so she makes $20 * 35 = $700 each week from teaching."
"If Claire has a habit of preparing an omelet with 3 eggs every day for her breakfast, can you calculate how many dozens of eggs she will consume in a span of 4 weeks?","Let's break this down. Claire uses 3 eggs daily for her omelet. So, in a week, which consists of 7 days, she would consume 3 eggs multiplied by 7 days, which equals 21 eggs. Now, if we want to find out how many eggs she eats in 4 weeks, we multiply the weekly consumption of 21 eggs by 4, which gives us a total of 84 eggs. Now, since a dozen contains 12 eggs, to find out how many dozens Claire consumes in 4 weeks, we divide the total number of eggs, which is 84, by 12. The result is 7. Therefore, Claire consumes 7 dozens of eggs in 4 weeks."
"Marissa is on a 12-mile hike. She covered the first 4 miles in an hour and the next two miles in another hour. If she aims to maintain an average speed of 4 miles per hour for the entire hike, what should be her speed (in miles per hour) for the remaining distance?","To begin with, we need to determine the total time Marissa would need to complete the 12-mile hike at her desired average speed of 4 mph. This can be calculated by dividing the total distance by the desired speed, which gives us 12 miles / 4 mph = 3 hours. Marissa has already spent 2 hours hiking (1 hour for the first 4 miles and another hour for the next 2 miles). So, she has 1 hour left (3 hours - 2 hours = 1 hour) to complete the hike. The remaining distance she needs to cover is 6 miles (12 miles - 4 miles - 2 miles = 6 miles). Therefore, to cover this distance in the remaining time, Marissa needs to hike at a speed of 6 miles per hour (6 miles / 1 hour = 6 mph). So, the required speed for the remaining distance is 6 mph."
"If I have a 10-liter orange beverage that is two-thirds water and I want to mix it with a 15-liter pineapple beverage that is three-fifths water, but I accidentally spill one liter of the orange beverage, how much water is in the resulting 24-liter mixture?","Let's break it down. The pineapple beverage has 15 liters, and three-fifths of it is water, which equals 9 liters. Now, let's consider the orange beverage. Initially, it was 10 liters, but 1 liter was spilled, leaving us with 9 liters. Two-thirds of this 9-liter orange beverage is water, which equals 6 liters. So, if we add the water content of both beverages, we get 9 liters (from the pineapple beverage) plus 6 liters (from the orange beverage), which equals 15 liters. Therefore, the 24-liter mixture contains 15 liters of water."
"Raymond and Samantha share a cousin relationship. Raymond came into the world 6 years prior to Samantha. At the age of 23, Raymond became a father. Given that Samantha's current age is 31, can you determine the number of years that have passed since the birth of Raymond's son?","To find out when Raymond's son was born, we need to consider Samantha's age at that time. Since Raymond is 6 years older than Samantha, she would have been 23 - 6 = 17 years old when Raymond's son was born. Now, if Samantha is 31 years old, it means that Raymond's son was born 31 - 17 = 14 years ago. Therefore, Raymond's son was born 14 years ago."
"John is a bookseller. On Wednesday, he had 8 customers. The first 3 customers purchased one book each. The following 2 customers purchased two books each. The remaining 3 customers didn't purchase any books. How many books did John sell on Wednesday?","The initial 3 customers purchased one book each, which totals to 3 * 1 = 3 books. The subsequent 2 customers bought two books each, adding up to 2 * 2 = 4 books. The last 3 customers didn't make any purchases, so they contribute 0 to the total. Therefore, the total number of books John sold on Wednesday is the sum of these amounts, which is 3 (from the first 3 customers) + 4 (from the next 2 customers) + 0 (from the last 3 customers) = 7 books. So, John sold 7 books on Wednesday."
"If a candle reduces its length by 2 centimeters for every hour it's lit, how much would its length decrease if it was lit from 1:00 PM to 5:00 PM?","To determine the decrease in the candle's length, we first need to calculate the total burning time. From 1:00 PM to 5:00 PM, the candle would be lit for a total of 4 hours. Given that the candle's length decreases by 2 centimeters every hour, we multiply the burning time (4 hours) by the rate of decrease (2 centimeters per hour). This gives us a total decrease of 8 centimeters in the candle's length."
"If Kyle managed to purchase a popular book from the previous year at a price of $19.50, taking advantage of a 25% discount on the original cost, can you determine what the book's initial price was?","To figure out the original price of the book, we need to understand that the $19.50 Kyle paid is only 75% of the original price, because he got a 25% discount. If we represent the original price as X, then 75% of X equals $19.50. To find X, we simply divide $19.50 by 75% (or 0.75 in decimal form). Doing this calculation, we find that the original price of the book was $26."
"Given that Marie spent a total of $50 on a chicken meal costing $12, five milk packs at $3 each, four apples at $1.50 each, and several pizza boxes priced at $8.50 each, how many pizza boxes did she purchase?","First, let's calculate the total cost of the chicken meal, milk packs, and apples. The chicken meal costs $12, five milk packs cost $3 each for a total of $15, and four apples cost $1.50 each for a total of $6. Adding these together, we get a total of $33. Now, to find out how much Marie spent on pizza, we subtract this total from the $50 she spent in total, which gives us $17. Given that each pizza box costs $8.50, we can find out the number of pizza boxes by dividing $17 by $8.50, which gives us 2. Therefore, Marie bought 2 boxes of pizza."
"If Mishka purchased three sets of shorts, pants, and shoes, with each set of shorts priced at $16.50, each set of pants at $22.50, and each pair of shoes at $42, what is the total amount of money that Mishka had to pay for all these items?","To find out the total amount Mishka spent, we need to add the cost of one pair of shorts, one pair of pants, and one pair of shoes together, which gives us $16.50 + $22.50 + $42 = $81. Since Mishka bought three sets of each item, we multiply this total by 3. So, $81 * 3 equals $243. Therefore, Mishka spent a total of $243 on her clothing purchases."
"If John indulges in a portion of ice cream every evening, and he purchases ice cream boxes that contain 15 portions each for $4.00 per box, how much will he have spent on ice cream after a period of two months?","John enjoys a single serving of ice cream each night. Given that there are 60 nights in two months, he will consume 60 servings of ice cream. Since each ice cream box provides 15 servings, he will require 60/15, which equals 4 boxes of ice cream. The cost of each box is $4.00, so the total expenditure for the 4 boxes will be 4*4, which equals $16.00. Therefore, John will spend a total of $16.00 on ice cream over the course of two months."
"During his 60-mile cycling journey, Henry took a break after covering 20 miles. He took his second break 15 miles before he reached his destination. Can you calculate the distance he covered from his first stop to his second?","To determine the distance Henry covered between his two stops, we need to consider the total distance of the trip and the distances at which he took his breaks. He first took a break after 20 miles, and then again 15 miles before the end of his 60-mile journey. This means that the distance between his first and second stops is the total distance of the trip (60 miles) minus the distance he covered before his first stop (20 miles) and the distance remaining after his second stop (15 miles). So, the calculation would be 60 miles - 20 miles - 15 miles, which equals 25 miles. Therefore, Henry covered a distance of 25 miles between his first and second stops."
"While shopping for accessories, John finds a wristwatch that fits his budget. However, he has to decide between the wristwatch and two belts, which together are four dollars less than the wristwatch. If one belt is priced at $30 and the other is double that price, what is the cost of the wristwatch in dollars?","The price of the second belt is double the first, which means it costs 30 * 2 = $60. The total cost for both belts is 60 + 30 = $90. The wristwatch is priced $4 more than the combined price of the two belts, so the wristwatch is priced at 90 + 4 = $94. Therefore, the wristwatch costs $94."
"The combined age of Darrell and Allen is 162 years, divided in a way that Darrell's age is to Allen's as 7 is to 11. How old will Allen be a decade from now?","To find out Allen's age, we first need to understand how the total age of 162 years is divided between him and Darrell. The ratio 7:11 means that for every 18 parts (7+11), Allen has 11. Therefore, Allen's current age is 11 parts of the total 18, which equals to 11/18*162, or 99 years. As we are interested in Allen's age 10 years in the future, we simply add 10 to his current age. So, Allen will be 99 + 10, which is 109 years old, a decade from now."
Gunter is holding a jelly bean counting contest. His first friend estimates there are 80 jelly beans. His second friend thinks there are 20 more than half of the first friend's guess. His third friend believes there are 25% more than the first friend's guess. Can you calculate the average of their guesses?,"Let's break down each friend's guess. The first friend's guess is straightforward, he thinks there are 80 jelly beans. The second friend's guess is a bit more complex. He thinks there are 20 more than half of the first friend's guess. Half of 80 is 40, and adding 20 to that gives us 60. So, the second friend's guess is 60. The third friend's guess is also a bit tricky. He thinks there are 25% more than the first friend's guess. 25% of 80 is 20, and adding that to 80 gives us 100. So, the third friend's guess is 100. Now, to find the average of their guesses, we add them all up and divide by the number of guesses. So, 80 (first friend's guess) + 60 (second friend's guess) + 100 (third friend's guess) equals 240. Dividing 240 by 3 (the number of guesses) gives us an average guess of 80 jelly beans."
"If John is responsible for 10 dogs and each dog requires half an hour daily for walking and other needs, what is the total time John dedicates to these dogs in a week?","John spends half an hour on each dog daily, which totals to 10 dogs * 0.5 hours = 5 hours each day. To find out the weekly time spent, we multiply the daily hours by the number of days in a week, which is 5 hours/day * 7 days/week = 35 hours. Therefore, John spends 35 hours per week taking care of the dogs."
"Gretchen possesses a total of 110 coins, with the gold ones outnumbering the silver ones by 30. Can you tell me the quantity of gold coins she has?","To figure out the number of gold coins Gretchen has, we can start by assuming that the number of silver coins she has is 'x'. Now, since we know that she has 30 more gold coins than silver, we can say she has 'x+30' gold coins. Adding these two quantities together gives us the total number of coins she has, which is 110. So, we have the equation x + (x+30) = 110. Solving this equation, we find that 'x', the number of silver coins, is 40. Therefore, the number of gold coins, which is 'x+30', would be 40+30, which equals 70. So, Gretchen has 70 gold coins."
"Siobhan has 2 less books than Aaron. Aaron has 5 more books than half the number of books Raymond has. If Raymond has 40 books, how many books does Siobhan possess?","To find out the number of books Siobhan has, we first need to determine the number of books Aaron has. We know that Aaron has 5 more books than half the number of books Raymond has. Raymond has 40 books, so half of that would be 40 divided by 2, which equals 20 books. Adding the 5 extra books Aaron has, we find that Aaron has a total of 20 plus 5, which equals 25 books. Siobhan has 2 less books than Aaron, so we subtract 2 from Aaron's total. This gives us 25 minus 2, which equals 23. Therefore, Siobhan has 23 books."
"Mike engages in a 40-minute ping pong match. He manages to score 4 points in the initial 20 minutes. However, his performance improves in the next 20 minutes, scoring 25% more points than he did in the first half. Can you calculate the total points Mike scored in the entire match?","To determine Mike's total score, we first need to calculate the increase in his points in the second half of the game. He scored 25% more points than the initial 4, which is an increase of 1 point (25% of 4). Therefore, in the second half, he scored 5 points (4 initial points plus the 1 point increase). Summing up the points from both halves, Mike scored a total of 9 points (4 points from the first half and 5 from the second) in the 40-minute ping pong match."
"If Terry consumes two yogurts each day and the current promotional price for yogurt is $5.00 for a pack of four, what would be his total expenditure on yogurt in a month?","Terry's daily yogurt consumption is two, which means in a month (30 days), he would consume 2 yogurts/day * 30 days = 60 yogurts. The store is offering a deal where four yogurts are priced at $5.00. To calculate how many packs of four he would need, we divide the total yogurts he needs (60) by the number of yogurts in a pack (4), which gives us 60/4 = 15 packs. The cost of each pack is $5.00, so to find out how much he would spend, we multiply the number of packs (15) by the cost per pack ($5.00). Therefore, Terry would spend 15 packs * $5.00/pack = $75.00 on yogurt in a month. So, the total expenditure on yogurt for Terry in a month would be $75.00."
"John is thinking about selling his entire toy collection to fund his video game purchases. He owns 13 Lego sets and plans to sell each for $15. After buying 8 video games at $20 each and having $5 remaining, how many Lego sets does he still possess?","Let's break it down. John bought 8 video games, each costing $20. So, he spent a total of $160 on video games (8 multiplied by 20 equals 160). Now, he still had $5 left after this purchase, which means he must have made $165 from selling his Lego sets (160 plus 5 equals 165). If each Lego set was sold for $15, then he must have sold 11 sets (since 165 divided by 15 equals 11). He initially had 13 sets, so after selling 11, he would be left with 2 sets (13 minus 11 equals 2). So, John still has 2 Lego sets."
"If John spends three days a week running, with the first day taking up three hours and the other two days taking half that time, and he covers a total of 60 miles in a week, what is his average running speed?","John spends three hours running on the first day of the week. On the other two days, he runs for half that time, which is 1.5 hours each day. Therefore, the total time he spends running in a week is 3 hours on the first day plus 1.5 hours on the second day and 1.5 hours on the third day, which adds up to 6 hours. Given that he covers a total distance of 60 miles in these 6 hours, his average speed is calculated by dividing the total distance by the total time. Hence, John's average running speed is 60 miles divided by 6 hours, which equals 10 miles per hour."
"Dana has a unique set of speeds for different activities. She runs four times faster than she walks, and her skipping speed is half of her running speed. If she skips at a speed of 3 miles per hour, and she plans to spend a third of her six-hour journey running and the rest walking, how far will she cover?","To start, we know that Dana's skipping speed is half of her running speed. So, if she skips at 3 miles per hour, her running speed would be double that, which is 6 miles per hour. Now, her walking speed is a quarter of her running speed, so she walks at 1.5 miles per hour."
"If we consider that Suzy's iPhone is a year old, and Ben's iPhone has been around for twice as long, while Brandon's iPhone has been in use for four times as long as Ben's, can you tell me how many years old is Brandon's iPhone?","To determine the age of Brandon's iPhone, we first need to figure out the age of Ben's iPhone. Given that Ben's iPhone is twice as old as Suzy's, and Suzy's iPhone is 1 year old, we can conclude that Ben's iPhone is 1 year * 2 = 2 years old. Now, since Brandon's iPhone is four times as old as Ben's, we multiply the age of Ben's iPhone by 4. So, 2 years * 4 = 8 years. Therefore, Brandon's iPhone is 8 years old."
"Imagine a colossal beast, Zorg, perched on the peak of the towering hill, Zephyr, spewing lava on anything within a radius of 1000 yards. Jack has a silver spear, the only weapon capable of defeating Zorg, which he can hurl up to 400 yards, a distance still within the beast's lava range. However, when Jack possesses the emerald talisman, his spear-throwing range triples. If Jack has the talisman, how far beyond the beast's lava range can he stand and still strike Zorg with the silver spear?","When Jack has the emerald talisman, his spear-throwing range increases to three times the original distance of 400 yards, which equals 3*400=1200 yards. This distance is greater than the beast's lava range of 1000 yards by 1200-1000=200 yards. Therefore, Jack can stand 200 yards outside the beast's lava range and still hit Zorg with the silver spear."
"Mrs. Jones, a grandmother, prepared 5 apple pies for a luncheon hosted for firefighters. She sliced each pie into 8 parts and placed them on the buffet table for the attendees to help themselves. By the end of the event, only 14 slices were left. Can you determine the number of pie slices that the attendees consumed?","Initially, Mrs. Jones had prepared 5 apple pies, and each was divided into 8 slices. So, the total number of pie slices available at the start of the event was 5 multiplied by 8, which equals 40 slices. By the end of the event, only 14 slices were left. Therefore, to find out the number of slices consumed by the attendees, we subtract the remaining slices from the initial total. That is, 40 minus 14, which equals 26. Hence, the attendees consumed 26 slices of apple pie."
"Given that a bag of chips weighs 300g and contains 5 servings, with each serving providing 250 calories, how much of the chips can you consume if you have a daily calorie limit of 2000 and you've already taken in 1800 calories?","To determine the amount of chips you can consume, you first need to calculate the remaining calories for the day. If your daily calorie limit is 2000 and you've already consumed 1800, you have 2000 - 1800 = 200 calories left. Given that each serving of chips provides 250 calories, you can only consume 200/250 = 0.8 of a serving, as this is the amount that fits within your remaining calorie limit. Now, considering that a 300g bag of chips contains 5 servings, each serving weighs 300g/5 = 60g. Therefore, if you can only consume 0.8 of a serving, this equates to 60g * 0.8 = 48g. So, you can consume 48 grams of chips without exceeding your daily calorie limit."
"Charlie is planning to start a business selling beeswax candles. He can produce 10 candles from a pound of beeswax, which along with the wicks, costs him $10.00. If he decides to sell each candle at a price of $2.00, how much profit will he make after producing and selling 20 candles?","To produce 20 candles, Charlie would require 2 pounds of beeswax, as 1 pound yields 10 candles. The cost of supplies for 2 pounds of beeswax would be $20.00, as 1 pound costs $10.00. By selling 20 candles at $2.00 each, he would earn $40.00. Therefore, after deducting the cost of supplies from his earnings, Charlie's net profit would be $20.00."
"Meredith is a self-employed health blogger who spends her days researching and writing articles for her clients. It typically takes her about 4 hours to complete one article. Last week, she managed to write 5 articles on Monday, then increased her output on Tuesday by 2/5 of Monday's total. On Wednesday, she doubled her productivity from Tuesday. Can you figure out how many hours she dedicated to writing articles over these three days?","Let's break it down. On Monday, Meredith wrote 5 articles. On Tuesday, she increased her output by 2/5 of Monday's total, which is 2/5*5 = 2 additional articles. So, she wrote a total of 5+2 = 7 articles on Tuesday. On Wednesday, she doubled her productivity from Tuesday, writing 2*7 = 14 articles. So, over the course of these three days, she wrote a total of 5+7+14 = 26 articles. Given that each article takes her about 4 hours to complete, she would have spent 4*26 = 104 hours writing articles over these three days. So, Meredith dedicated a total of 104 hours to her writing work."
"Candice initially had 80 post-it notes. She bought more at a store, used 220 at work, and ended up with 23. How many post-it notes did she buy at the store?","Let's denote the number of post-it notes Candice bought as 'x'. Initially, she had 80 notes, so after buying more, she had 80+x notes. She used 220 and was left with 23, which means 80+x equals 220 plus 23. Solving this equation for 'x' gives us x = 220 + 23 - 80, which equals 163. Therefore, Candice bought 163 post-it notes at the store."
"If Peter purchases double the number of red shirts compared to blue shirts, and the red shirts are priced 50% higher than the blue shirts. If he spends $200 on blue shirts that are priced at $40 each, how much does he spend in total on shirts?","Initially, Peter spends $200 on blue shirts, each priced at $40. This means he bought $200 / $40 = 5 blue shirts. Given that he buys twice as many red shirts, he therefore purchased 5 * 2 = 10 red shirts. The red shirts are priced 50% higher than the blue shirts, which means each red shirt costs $40 * 1.5 = $60. The total amount spent on red shirts is therefore $60 * 10 = $600. Adding the amount spent on blue shirts, the total expenditure on shirts is $200 (for blue shirts) + $600 (for red shirts) = $800. Therefore, Peter spent a total of $800 on shirts."
"If Tracy has a 4-foot long wire that she cuts into 6-inch segments to support her tomato plants, how many segments will she end up with?","To determine the number of segments Tracy can get from the wire, we first need to convert the length of the wire from feet to inches. Since there are 12 inches in a foot, a 4-foot wire would be 4*12=48 inches long. If each segment is 6 inches long, then the number of segments she can get from the wire is 48 divided by 6, which equals 8. Therefore, Tracy can get 8 segments from the 4-foot wire."
"Imagine a hotel with 15 floors, each floor having 8 rooms. If 75% of the rooms are filled, how many rooms are still vacant?","To begin with, we need to calculate the total number of rooms in the hotel. This can be done by multiplying the number of rooms on each floor (8) by the total number of floors (15), which gives us 120 rooms in total. Now, we know that 75% of these rooms are occupied. To find out the exact number of occupied rooms, we multiply 75% (or 0.75) by the total number of rooms (120), which equals 90 rooms. To find out the number of vacant rooms, we subtract the number of occupied rooms (90) from the total number of rooms (120). This leaves us with 30 vacant rooms in the hotel."
"Lloyd owns a poultry farm where he breeds chickens for egg production. Each day, his chickens lay 252 eggs, which he sells at a rate of $2 per dozen. Can you calculate Lloyd's weekly income from selling these eggs?","Let's break down the calculation. Lloyd's chickens lay 252 eggs daily. Over the span of a week, which is 7 days, the total egg production is 252 eggs/day multiplied by 7 days, which equals 1764 eggs. Now, since a dozen contains 12 eggs, the total number of dozens produced in a week is 1764 eggs divided by 12, which gives us 147 dozens. Lloyd sells each dozen for $2. Therefore, his weekly earnings from selling eggs would be 147 dozens multiplied by $2/dozen, which equals $294. So, Lloyd earns $294 per week from his egg sales."
"If Tom drives his car at a speed of 10 miles per hour from 1 PM to 4 PM, and then returns at a speed of 6 miles per hour, how much time will he need for the return trip?","Initially, Tom drives for a total of 3 hours, from 1 PM to 4 PM. Given that his speed is 10 miles per hour, he covers a distance of 3 hours multiplied by 10 miles per hour, which equals 30 miles. When he returns, he drives at a slower speed of 6 miles per hour. Therefore, to cover the same distance of 30 miles, he would need 30 miles divided by 6 miles per hour, which equals 5 hours. So, Tom will need 5 hours for his return trip."
